Długość Geograficzna;Szerokość Geograficzna;ID Słupka;Typ Przystanku
16.95920382;51.14058982;12731;3
17.12491458;51.16218975;29507;3
16.94969305;51.14400742;18502;3
17.10399465;51.11387120;24321;3
16.99613211;51.09848461;11405;03
17.02953113;51.09788940;11331;3
16.86380310;51.14339947;18313;3
16.99875649;51.07064579;16507;3
17.02379017;51.05678676;26313;3
17.13041532;51.14235831;29320;3
16.96866059;51.07647649;17106;3
17.10543835;51.13317158;24121;3
16.97673775;51.09037928;11609;0
17.01939388;51.10713314;10381;3
17.00911955;51.13490428;23105;3
16.85467826;51.14920855;18364;3
16.84988427;51.12015409;17721;3
17.01160242;51.17531415;23534;3
17.03305850;51.07525692;21110;3
17.03429734;51.11727839;20611;0
17.04676749;51.10604560;20200;0
17.03388429;51.09990482;10226;0
16.99194654;51.17657613;23511;3
16.99364040;51.13765168;23301;3
17.05636847;51.11984442;20851;03
17.02726150;51.09502822;11330;3
16.98320660;51.12548815;12205;0
17.13790104;51.13492438;29305;3
17.07586716;51.06271576;25317;3
16.96033939;51.13623568;12510;3
17.01964550;51.13389616;23103;3
16.95489970;51.09673394;17308;3
17.00722819;51.07486132;11216;0
17.07945918;51.13226101;24131;3
17.07172068;51.10840913;24422;0
17.00209835;51.06012868;26329;3
17.00015824;51.08978035;11553;3
16.85024757;51.12008382;17722;3
17.00836760;51.09342279;11522;3
16.84509139;51.11323640;17733;3
17.02736426;51.16652358;23537;3
16.99597183;51.06130496;16509;3
17.05994282;51.09331094;25001;0
17.01136519;51.07060362;16522;3
17.10214578;51.12841711;24016;0
16.86909655;51.14650851;18372;3
16.90630060;51.19172106;18715;3
17.09266883;51.05149366;25312;3
17.00991013;51.06494947;26328;3
17.01147232;51.08672840;11352;3
17.01528337;51.11908353;10525;3
16.99164966;51.17663308;23512;3
17.01892611;51.08478995;11361;3
16.84817259;51.13160815;18320;3
16.91385027;51.12698017;17730;3
17.03061681;51.13663183;23144;3
16.88189904;51.16532640;18733;3
17.03026068;51.12246162;10704;3
17.02253107;51.11222440;10451;0
16.94541343;51.12103051;12128;3
17.04291123;51.14868290;23170;3
17.03154943;51.09186401;21153;3
16.88550957;51.15399128;18126;3
17.00010859;51.11190802;10545;3
17.11197282;51.16397081;29533;3
17.02048757;51.11208496;10401;0
17.01656596;51.08129653;11356;3
16.87935805;51.14968423;18123;3
17.03027131;51.14736909;23019;0
17.06830653;51.08783360;25110;3
17.11190724;51.16422799;29534;3
17.03224846;51.06315724;26306;3
16.90246771;51.12729732;17709;3
17.06588865;51.13226193;24004;0
17.08647569;51.05897038;25310;3
17.01796144;51.11340955;10538;3
17.05371918;51.13800702;23712;3
17.02933929;51.15132017;23521;3
16.88022093;51.14516219;18109;3
17.10369909;51.11394367;24322;3
17.05609761;51.12863458;20729;3
17.02467005;51.08351956;11234;0
17.07474937;51.10927175;24532;3
16.85418764;51.14730945;18344;3
17.03326061;51.11701185;10716;3
16.94019984;51.14647479;18520;3
17.03121631;51.06226353;26333;3
17.12302758;51.09515536;25509;3
17.06736264;51.10147354;25516;3
17.05464272;51.12838049;20629;0
16.97206692;51.07632581;17108;3
17.05884177;51.08374351;21148;3
17.03633492;51.13530226;23014;0
16.88673049;51.16680520;18730;3
17.00848546;51.09215589;11536;3
17.03259792;51.05829834;26322;3
16.86740812;51.14622765;18351;3
17.06254965;51.11195739;20921;3
17.10984204;51.15021055;29513;3
17.11099890;51.14555136;29103;3
17.11869287;51.14396509;29123;3
17.03271467;51.13956090;23124;3
16.86003960;51.15019486;18305;3
17.00165188;51.09966574;11404;03
17.03298048;51.09657450;21102;3
17.02518704;51.09747772;11202;0
17.01003847;51.08372393;11337;3
17.00381203;51.08460414;11546;3
17.03022763;51.14842303;23128;3
17.03372270;51.15602959;23542;3
17.07257073;51.10851512;24421;03
16.99038020;51.08415955;11746;3
16.97952812;51.06395508;16704;3
16.98871068;51.11247574;12104;3
17.04047812;51.12345406;20683;0
17.02895604;51.15066734;23522;3
16.97711809;51.09058305;11720;3
17.00377946;51.17087926;23518;3
17.03647045;51.13539399;23013;0
17.02568772;51.09776564;11326;3
17.07556991;51.14868426;23722;3
17.08363569;51.07784304;25114;3
17.10950516;51.10103224;24508;03
17.13404861;51.16010196;29523;3
17.05995961;51.11144435;20824;03
17.02983653;51.10203902;10366;3
16.90660196;51.17470500;18714;3
17.01149673;51.08651261;11252;0
16.84393441;51.12141760;17723;3
16.94237977;51.10090616;17317;3
16.96409542;51.14128352;12609;0
17.04937482;51.08255773;21023;0
16.94553558;51.14883873;18504;3
16.83332759;51.15008409;18347;3
16.97515087;51.19664243;23515;3
16.99899846;51.16545747;23505;3
16.95578726;51.05867841;16716;3
16.93443209;51.13850605;18101;3
16.94689792;51.09694613;17306;3
16.95050781;51.13642898;12505;3
16.92406355;51.15757455;18533;3
16.95088129;51.12393772;32903;3
17.00595456;51.07173401;16402;0
17.03222223;51.14097658;23015;0
17.00696258;51.11314781;10405;0
16.91687379;51.12367506;17706;3
17.02530179;51.10203788;10376;3
17.11707985;51.11410080;24704;3
17.06690582;51.11336312;20825;03
17.02981513;51.13701510;23009;0
17.06987492;51.14026923;23718;3
16.95219543;51.11161603;12131;3
17.12978097;51.14239781;29319;3
16.94431436;51.14512477;18544;3
17.06585948;51.13235660;24005;0
16.96391602;51.07763598;17104;3
17.06466995;51.07779229;21151;3
17.03017448;51.13778407;23010;0
17.03100195;51.11789227;10655;03
17.02366993;51.17006283;23531;3
16.85618358;51.15138314;18361;3
17.01374986;51.10123821;10386;3
16.98664037;51.12945148;12316;3
17.01640170;51.13623004;23112;3
17.07782183;51.12435179;24306;3
16.87199486;51.14518058;18302;3
17.12631936;51.14049941;29301;3
16.97192044;51.12212047;12513;3
17.09109801;51.11354366;24314;3
16.95485817;51.12623547;12520;3
16.86561160;51.14783867;18304;3
17.09717648;51.12989004;24117;3
16.92681824;51.15225132;18535;3
17.01624043;51.09167744;11345;3
17.05212770;51.11362563;20810;0
17.08421204;51.10432782;24407;0
17.06182569;51.07732670;21158;3
17.03023265;51.09328154;11035;0
16.94951263;51.12294021;12904;3
17.01068560;51.15705249;23154;3
16.98681382;51.12390232;12306;3
16.96717920;51.13072758;12405;0
16.88690309;51.14114738;18144;3
17.05995315;51.06605810;26111;3
17.03222910;51.09430132;21101;3
16.98787062;51.05796428;16724;3
17.13294218;51.09218353;25518;3
17.03025905;51.12246241;10604;0
17.00788626;51.11323863;10505;3
17.04598650;51.16252721;23557;3
16.89370571;51.16018894;18130;3
17.02810344;51.16483958;23527;3
17.07823928;51.12419286;24305;3
17.05021796;51.11344416;20811;0
17.01833332;51.07676668;11238;0
17.12921841;51.09483359;25511;3
17.06571788;51.13261699;24143;3
17.04326798;51.11708721;20657;0
16.99230108;51.08867405;11742;3
17.01029125;51.08368029;11212;0
17.05928680;51.06628391;26112;3
17.02866719;51.08988892;11231;0
17.02315084;51.05765754;26334;3
17.07731040;51.12057042;24304;3
17.09799238;51.11394125;24212;0
17.08075123;51.13174774;24113;3
16.96667228;51.13681062;12605;0
17.03110581;51.08314548;21177;3
16.97478780;51.06002887;16714;3
17.05971236;51.08352537;21147;3
16.87155483;51.14467369;18388;3
17.03248361;51.09301999;21113;3
17.01120749;51.08463579;11338;3
17.06548395;51.06487769;26113;3
17.08178619;51.13845252;24133;3
16.83427100;51.14977793;18346;3
16.87036722;51.14553829;18301;3
17.04959717;51.07712305;21139;3
17.07010305;51.14030861;23717;3
16.96386689;51.14137758;12732;3
17.02131223;51.14936007;23153;3
17.04468139;51.15920491;23555;3
17.07965542;51.13155531;24009;0
17.01464637;51.08893211;11317;3
16.85525774;51.15051240;18363;3
16.99927273;51.13651148;23109;3
16.99292232;51.15151264;23316;3
17.05034902;51.07940737;21127;3
17.09732665;51.06495031;25119;3
17.01912014;51.07739933;11364;3
16.97093801;51.12985328;12501;3
17.04211691;51.11750255;20621;03
16.99060405;51.14192030;23304;3
17.04626183;51.07715183;21029;0
16.95971075;51.13998833;12612;0
17.04984724;51.11330586;20932;3
17.08199474;51.11687817;24204;0
17.04929011;51.08347580;21014;0
16.97581130;51.06175785;16713;3
17.03254813;51.07472529;21109;3
16.91926529;51.16348599;18514;3
16.99407691;51.13736298;23204;0
16.94684781;51.09683829;17305;3
17.11583748;51.15074276;29512;3
17.04469824;51.13674858;23133;3
17.16343519;51.09732721;24717;3
17.00626128;51.05953181;26318;3
16.87142514;51.14479054;18385;3
17.00623189;51.07485496;11313;3
16.98537335;51.09186956;11723;3
17.10914151;51.10125726;24416;0
16.89113550;51.15592619;18127;3
17.13575373;51.14571167;29314;3
17.10253432;51.12796054;24135;3
17.04090971;51.11739488;20658;0
17.02280648;51.11223433;10535;3
17.05206422;51.11659529;20801;0
17.09788135;51.12987152;24014;0
17.04204126;51.11890241;20623;03
17.00042637;51.09947071;11403;03
16.92483451;51.12309268;17704;3
17.01492235;51.10561273;10383;3
16.89012427;51.16686498;18732;3
17.02022841;51.09810015;11324;3
17.01446461;51.07765009;11357;3
16.99127638;51.06699848;16500;3
16.95238558;51.08833406;17110;3
17.02810627;51.15433667;23524;3
16.96415159;51.07700272;17105;3
17.02547332;51.09804816;11325;3
17.04743347;51.10152287;20322;3
16.85582888;51.12029557;17719;3
17.03963685;51.10761120;10031;0
17.05054794;51.07678236;21140;3
16.97280207;51.10195069;12158;3
17.00403514;51.09717634;11514;3
16.99831943;51.13600487;23201;0
16.94488384;51.14609579;18531;3
17.05045843;51.11421655;20809;0
16.97474844;51.13885932;12715;3
17.06558812;51.13203256;24140;3
16.88115388;51.17570950;18728;3
16.84750134;51.11824079;17738;3
16.90989178;51.12608262;17707;3
16.95363942;51.07252593;17130;3
17.10841758;51.10945912;24521;3
17.03497352;51.11073818;10009;0
17.03902559;51.11040648;10026;0
17.11666655;51.14709329;29130;3
17.02061807;51.11270542;10500;3
17.03738253;51.10801931;10123;3
17.07609287;51.07545293;25301;3
16.97413031;51.06643762;17117;3
17.02069685;51.11189395;10402;0
17.04543891;51.10021609;20264;0
17.05238674;51.11655080;20901;3
16.95941434;51.13990208;12708;3
17.01836232;51.07697039;11237;0
17.02046816;51.11175003;10502;3
16.97377968;51.05882667;16715;3
17.03800726;51.10608875;10126;3
17.04370090;51.15293125;23551;3
17.12583922;51.16407187;29544;3
17.00743968;51.10107786;11401;03
17.01789534;51.15064715;23152;3
17.06514893;51.13222401;24101;3
17.05089848;51.09955855;20324;3
17.09092741;51.10375672;24409;0
17.08302653;51.11154662;24311;3
17.13678381;51.11116927;24722;3
17.09207314;51.10631313;24512;3
17.01291054;51.08681533;11304;3
16.95945079;51.14019832;12611;0
17.11666581;51.10210123;24527;3
16.95856194;51.11578449;12123;3
17.01378828;51.05859855;26315;3
16.93498947;51.13806349;18001;0
17.06091210;51.13938060;23714;3
17.00673612;51.08909645;11537;3
16.97664203;51.08990372;11719;3
17.03277662;51.09746411;21002;0
17.05544768;51.09705538;20215;03
16.90013996;51.14219770;18149;3
17.03915953;51.11038702;10027;0
16.96365272;51.07328329;17113;3
17.00940343;51.15747560;23156;3
17.02478235;51.11644952;10651;0
17.05758711;51.13577995;23732;3
17.01451089;51.10246148;10378;3
17.11606706;51.10254806;24509;3
17.03147708;51.09341995;21116;3
17.04766164;51.12632996;20631;03
17.08279215;51.11949066;24320;3
17.02937414;51.13828186;23143;3
16.87170533;51.14465232;18201;0
16.96830832;51.13747750;12720;3
17.02111604;51.13939937;23114;3
17.01235293;51.08676056;11209;0
17.00425630;51.13545586;23107;3
17.11049131;51.10563627;24517;3
16.99728755;51.09402381;11525;3
17.01119360;51.08568611;11309;3
17.02999796;51.10429039;10250;03
16.89055082;51.14377985;18108;3
17.01213820;51.11259735;10504;3
17.05862828;51.13846774;23734;3
17.00030381;51.11197428;10414;0
17.13998408;51.15575810;29118;3
17.08142457;51.13858413;24134;3
17.05190915;51.07591259;21129;3
17.03437046;51.08252808;21117;3
16.88084927;51.17600473;18727;3
17.02870737;51.15028811;23021;0
17.05431407;51.09989400;20204;03
16.86356216;51.15275873;18349;3
17.09276208;51.07588439;25145;3
17.00285237;51.12589238;10520;3
17.11912776;51.15496660;29504;3
16.92766462;51.15768905;18509;3
17.10551543;51.10603193;24519;3
17.01124817;51.13457753;23005;0
17.01942960;51.09297130;11327;3
17.14942686;51.14486480;29925;3
16.97544366;51.08766035;11613;0
17.00802948;51.08010372;11213;0
17.08546712;51.11244976;24222;0
17.04926393;51.08223021;21173;3
